State,Period,Civilian Noninstitutional Population,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
Massachusetts,Jan,5647532,67.4,65.2,3808808,3680469,128339,3.4
Massachusetts,Feb,5648931,67.5,65.3,3814900,3689261,125639,3.3
Massachusetts,Mar,5650426,66.6,64.6,3763557,3652119,111438,3.0
Massachusetts,Apr,5652023,59.9,50.3,3387179,2844049,543130,16.0
Massachusetts,May,5654008,62.4,52.0,3525512,2942716,582796,16.5
Massachusetts,Jun,5656083,65.9,54.1,3726254,3061841,664413,17.8
Massachusetts,Jul,5658448,65.8,55.1,3725151,3119355,605796,16.3
Massachusetts,Aug,5660870,63.3,56.2,3584444,3182518,401926,11.2
Massachusetts,Sep,5663269,66.5,60.1,3763988,3404620,359368,9.5
Maryland,Jan,4768645,68.6,66.1,3269371,3153245,116126,3.6
Maryland,Feb,4769241,68.6,66.2,3272916,3156904,116012,3.5
Maryland,Mar,4769850,68.7,66.3,3276247,3161530,114717,3.5
Maryland,Apr,4770644,64.8,58.4,3089838,2787269,302569,9.8
Maryland,May,4771597,65.1,58.8,3106005,2803634,302371,9.7
Maryland,Jun,4772693,68.0,62.2,3243857,2969108,274749,8.5
Maryland,Jul,4773985,69.0,63.5,3293672,3031510,262162,8.0
Maryland,Aug,4775620,68.2,63.3,3256662,3023076,233586,7.2
Maryland,Sep,4777241,64.1,59.7,3060968,2850554,210414,6.9
Louisiana,Jan,3575222,58.7,55.3,2097045,1977412,119633,5.7
Louisiana,Feb,3574497,58.7,56.1,2096578,2006863,89715,4.3
Louisiana,Mar,3573843,59.6,55.8,2129078,1993963,135115,6.3
Louisiana,Apr,3573319,54.0,46.2,1929961,1649341,280620,14.5
Louisiana,May,3572910,56.7,48.8,2026083,1743630,282453,13.9
Louisiana,Jun,3572621,56.6,50.7,2021155,1811785,209370,10.4
Louisiana,Jul,3572500,57.1,51.4,2038615,1835539,203076,10.0
Louisiana,Aug,3572613,59.0,54.2,2106363,1936826,169537,8.0
Louisiana,Sep,3572672,58.5,53.8,2091597,1920570,171027,8.2
Kentucky,Jan,3499012,59.2,56.3,2070206,1971521,98685,4.8
Kentucky,Feb,3499368,59.2,56.6,2071812,1981312,90500,4.4
Kentucky,Mar,3499821,59.1,55.9,2066706,1956583,110123,5.3
Kentucky,Apr,3500355,58.7,49.2,2054250,1720681,333569,16.2
Kentucky,May,3501138,58.2,52.0,2037060,1819169,217891,10.7
Kentucky,Jun,3502003,55.8,53.0,1952575,1855895,96680,5.0
Kentucky,Jul,3503033,52.9,50.3,1854698,1761864,92834,5.0
Kentucky,Aug,3504121,57.1,52.9,2001943,1855243,146700,7.3
Kentucky,Sep,3505197,54.9,52.0,1922687,1821755,100932,5.2
Iowa,Jan,2472780,70.3,67.7,1738135,1673914,64221,3.7
Iowa,Feb,2473213,70.1,67.9,1734341,1679756,54585,3.1
Iowa,Mar,2473740,69.4,66.9,1716518,1654608,61910,3.6
Iowa,Apr,2474268,69.1,61.6,1709966,1525331,184635,10.8
Iowa,May,2475029,68.2,61.4,1688213,1520646,167567,9.9
Iowa,Jun,2475809,66.9,61.4,1657047,1519698,137349,8.3
Iowa,Jul,2476740,66.5,62.1,1647866,1537503,110363,6.7
Iowa,Aug,2477775,65.5,61.5,1623853,1523618,100235,6.2
Iowa,Sep,2478812,65.0,62.2,1611521,1542635,68886,4.3
Illinois,Jan,2472780,70.3,67.7,1738135,1673914,64221,3.7
Illinois,Feb,2473213,70.1,67.9,1734341,1679756,54585,3.1
Illinois,Mar,2473740,69.4,66.9,1716518,1654608,61910,3.6
Illinois,Apr,2474268,69.1,61.6,1709966,1525331,184635,10.8
Illinois,May,2475029,68.2,61.4,1688213,1520646,167567,9.9
Illinois,Jun,2475809,66.9,61.4,1657047,1519698,137349,8.3
Illinois,Jul,2476740,66.5,62.1,1647866,1537503,110363,6.7
Illinois,Aug,2477775,65.5,61.5,1623853,1523618,100235,6.2
Illinois,Sep,2478812,65.0,62.2,1611521,1542635,68886,4.3
Georgia,Jan,8253244,62.5,60.3,5157403,4979349,178054,3.5
Georgia,Feb,8261179,62.8,60.6,5187312,5006089,181223,3.5
Georgia,Mar,8269251,62.5,59.7,5167293,4933883,233410,4.5
Georgia,Apr,8277576,59.0,51.8,4880560,4286140,594420,12.2
Georgia,May,8286197,59.1,53.6,4893313,4443617,449696,9.2
Georgia,Jun,8295007,59.5,54.8,4936947,4544351,392596,8.0
Georgia,Jul,8304229,60.5,55.6,5022761,4620061,402700,8.0
Georgia,Aug,8313911,59.0,55.5,4906688,4611805,294883,6.0
Georgia,Sep,8323593,59.3,55.6,4937094,4627591,309503,6.3
Puerto Rico,Jan,,,,1032482,933741,98741,9.6
Puerto Rico,Feb,,,,1038055,957316,80739,7.8
Puerto Rico,Mar,,,,,,,
Puerto Rico,Apr,,,,,,,
Puerto Rico,May,,,,1015919,918881,97038,9.6
Puerto Rico,Jun,,,,1063390,973196,90194,8.5
Puerto Rico,Jul,,,,1042138,966381,75757,7.3
Puerto Rico,Aug,,,,1048938,960458,88480,8.4
Puerto Rico,Sep,,,,1048264,950359,97905,9.3
